College,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,Undergrad Population,Average Cost,ACT Median,SAT Average,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry,LATITUDE,LONGITUDE
Kansas State University,3,4,Public,Great Plains,Small City,0.95909999999999995,19647,20140,0,0,0.78080000000000005,4.0800000000000003E-2,5.8000000000000003E-2,1.23E-2,4.4999999999999997E-3,1.1000000000000001E-3,2.9000000000000001E-2,5.8500000000000003E-2,8.9700000000000002E-2,10423,8154,0.86760000000000004,0.25259999999999999,0.59440000000000004,0.81189999999999996,0.1045,7.9,17000,22500,10500,0.959999979,0.47999998900000002,20.799999239999998,76027.75,66719,6.2699999809999998,475,5773,43300,39600,39.188616,-96.581077
University of Puerto Rico-Mayaguez,3,4,Public,Outlying Areas,Small City,0.72499999999999998,10697,14726,0,0,0,0,1,0,0,0,0,0,5.2600000000000001E-2,8372,6533,0.98070000000000002,0.60809999999999997,0.4284,0.89319999999999999,5.4600000000000003E-2,11.6,5500,5500,5500,0.33000001299999998,0.980000019,19.549999239999998,25464.65,22433.5,45.729999540000001,0,0,0,0,18.212964,-67.143911
Embry-Riddle Aeronautical University-Worldwide,3,4,Private,Southeast,Small City,0.99439999999999995,9689,20932,0,0,0.49809999999999999,7.9100000000000004E-2,6.8900000000000003E-2,2.35E-2,5.3E-3,6.4999999999999997E-3,4.48E-2,2.06E-2,0.70120000000000005,4047,5326,0.4133,0.25309999999999999,0.5,0.61699999999999999,0.8851,4.5999999999999996,16500,26000,11750,0.91000002599999996,0.47999998900000002,23.229999540000001,71628,52839,7.3000001909999996,226,2940,59200,53800,29.18926994,-81.04951035
Ithaca College,3,4,Private,Mid-Atlantic,Small Suburb,0.66600000000000004,6202,53521,0,0,0.69110000000000005,4.6800000000000001E-2,7.3400000000000007E-2,3.0300000000000001E-2,1.9E-3,5.9999999999999995E-4,2.87E-2,1.9E-2,1.29E-2,12032,8425,0.66710000000000003,0.19409999999999999,0.75749999999999995,0.87519999999999998,9.9000000000000008E-3,1.7,23251,26300,9026,0.99000001000000004,0.31999999299999998,19.420000080000001,103308.55,92718,5.4000000950000002,98,1827,48700,45600,42.42263969,-76.49505672
Western Connecticut State University,3,4,Public,New England,Small City,0.65490000000000004,5184,19446,0,0,0.67979999999999996,0.1082,0.1462,3.1399999999999997E-2,2.0999999999999999E-3,1.6999999999999999E-3,1.0200000000000001E-2,4.0000000000000002E-4,0.1535,8964,8712,1,0.28349999999999997,0.44469999999999998,0.74260000000000004,0.15570000000000001,6.8,17050,24250,11000,0.959999979,0.43000000700000002,21.370000839999999,76059.55,67834,4.4099998469999999,110,1189,41800,38700,41.3987331,-73.44285574
University of Puerto Rico-Bayamon,3,3,Public,Outlying Areas,Large Suburb,0.25469999999999998,4847,8509,0,0,0,0,1,0,0,0,0,0,0.1192,4930,5738,0.7742,0.65269999999999995,0.39240000000000003,0.85599999999999998,8.0199999999999994E-2,11.9,4500,5500,4500,0.33000001299999998,0.980000019,19.549999239999998,25464.65,22433.5,45.729999540000001,0,0,0,0,18.371398,-66.143541
Wake Forest University,3,4,Private,Southeast,Mid-size City,0.35199999999999998,4812,58260,0,0,0.76,6.5000000000000002E-2,5.9900000000000002E-2,4.8599999999999997E-2,1.6999999999999999E-3,5.9999999999999995E-4,2.6599999999999999E-2,3.7400000000000003E-2,1.2500000000000001E-2,26136,10928,0.82589999999999997,0.1202,0.86460000000000004,0.9294,1.1999999999999999E-3,1.3,21000,22810,12750,0.959999979,0.27000001099999998,19.379999160000001,124215.22,103314,5.329999924,38,595,66100,52800,36.13209825,-80.27794276
Berklee College of Music,3,3,Private,New England,Large City,0.36170000000000002,4402,56335,0,0,0.3866,5.3400000000000003E-2,8.8800000000000004E-2,3.3799999999999997E-2,1.1000000000000001E-3,1.8E-3,4.0399999999999998E-2,0.3105,0.1027,20301,9480,0.3851,0.18890000000000001,0.49630000000000002,0.79859999999999998,0.1479,13.6,21046,27000,14000,0.980000019,0.37000000500000002,20.790000920000001,94505.71,79421,6.5500001909999996,182,1013,31400,26200,42.34689549,-71.0870305
Worcester Polytechnic Institute,3,4,Private,New England,Mid-size City,0.51590000000000003,4012,55866,0,0,0.64510000000000001,2.5399999999999999E-2,7.2300000000000003E-2,4.9099999999999998E-2,2E-3,0,3.0200000000000001E-2,0.12640000000000001,2.9700000000000001E-2,22494,8598,0.75,0.15079999999999999,0.81240000000000001,0.95889999999999997,1.4E-2,3.7,27000,27000,22500,0.99000001000000004,0.280000001,19.479999540000001,99994.76,93479,5.4299998279999997,54,903,75300,75200,42.2743459,-71.80976507
University of Puerto Rico-Arecibo,3,3,Public,Outlying Areas,Small City,0.5302,3654,11056,0,0,0,0,1,0,0,0,0,0,6.13E-2,6585,6133,0.91579999999999995,0.81879999999999997,0.40039999999999998,0.79410000000000003,5.7500000000000002E-2,11.9,4500,4600,4500,0.33000001299999998,0.980000019,19.549999239999998,25464.65,22433.5,45.729999540000001,0,0,0,0,18.469199,-66.74114
University of Puerto Rico-Humacao,3,3,Public,Outlying Areas,Large Suburb,0.44869999999999999,3383,11686,0,0,5.8999999999999999E-3,9.4999999999999998E-3,0.88349999999999995,2.9999999999999997E-4,0,2.9999999999999997E-4,3.3E-3,5.9999999999999995E-4,9.1300000000000006E-2,9908,5812,0.84640000000000004,0.75270000000000004,0.43430000000000002,0.86799999999999999,6.5799999999999997E-2,11.8,4500,5000,3800,0.33000001299999998,0.980000019,19.549999239999998,25464.65,22433.5,45.729999540000001,0,0,0,0,18.14449,-65.831305
University of Puerto Rico-Ponce,3,3,Public,Outlying Areas,Mid-size City,0.63980000000000004,3120,13018,0,0,0,0,1,0,0,0,0,0,7.6600000000000001E-2,5276,5174,0.70720000000000005,0.80669999999999997,0.40720000000000001,0.86729999999999996,7.5600000000000001E-2,11.9,5250,5500,4500,0.33000001299999998,0.980000019,19.549999239999998,25464.65,22433.5,45.729999540000001,0,0,0,0,17.993314,-66.606215
College of the Holy Cross,3,3,Private,New England,Mid-size City,0.32969999999999999,2878,56706,0,0,0.68069999999999997,4.07E-2,0.107,4.5199999999999997E-2,1.6999999999999999E-3,0,2.9899999999999999E-2,8.9999999999999993E-3,2.9999999999999997E-4,18859,9666,0.86770000000000003,0.16270000000000001,0.91359999999999997,0.95150000000000001,1.4E-3,1.9,27000,27000,10900,0.94999998799999996,0.25999999000000001,19.31999969,125254.65,108458,5.579999924,31,513,66500,55800,42.23894237,-71.8086266
Smith College,3,4,Private,New England,Large Suburb,0.43080000000000002,2606,57913,0,0,0.45889999999999997,4.8000000000000001E-2,9.5200000000000007E-2,0.12509999999999999,1.9E-3,4.0000000000000002E-4,4.8000000000000001E-2,0.13159999999999999,8.0999999999999996E-3,25233,11800,0.83289999999999997,0.22639999999999999,0.86129999999999995,0.93700000000000006,3.7999999999999999E-2,3.1,19000,19500,8000,0.97000002900000004,0.44999998800000002,20.790000920000001,87888.48,68708.5,7.0999999049999998,89,616,39700,37900,42.317933,-72.638094
Clark University,3,4,Private,New England,Mid-size City,0.61539999999999995,2312,47248,0,0,0.62070000000000003,3.8899999999999997E-2,6.4000000000000001E-2,5.5399999999999998E-2,4.0000000000000002E-4,4.0000000000000002E-4,2.29E-2,0.1211,2.1600000000000001E-2,10780,9630,0.58379999999999999,0.20710000000000001,0.80940000000000001,0.88590000000000002,3.0300000000000001E-2,3.6,23000,26000,10250,0.939999998,0.40999999599999998,20.620000839999999,88024.49,75720.5,6.4899997709999999,46,568,41500,38800,42.25077832,-71.82363168
Franklin and Marshall College,3,3,Private,Mid-Atlantic,Small City,0.3931,2262,58518,0,0,0.62860000000000005,4.5100000000000001E-2,6.9800000000000001E-2,4.24E-2,8.9999999999999998E-4,0,1.77E-2,0.1295,2.7000000000000001E-3,18944,9332,0.83609999999999995,0.1416,0.87350000000000005,0.91820000000000002,4.4000000000000003E-3,2.2999999999999998,23000,25000,10000,0.99000001000000004,0.25,19.31999969,130432.83,113508,5.2600002290000001,27,329,52000,47200,40.048045,-76.319037
Bates College,3,3,Private,New England,Small City,0.2417,1791,59285,0,0,0.72189999999999999,5.1400000000000001E-2,6.25E-2,4.6899999999999997E-2,3.3999999999999998E-3,5.9999999999999995E-4,3.9600000000000003E-2,6.4799999999999996E-2,0,21446,10374,0.84740000000000004,0.11119999999999999,0.92989999999999995,0.9163,3.3999999999999998E-3,1.4,16425,17058,6700,0.959999979,0.27000001099999998,19.549999239999998,118325.02,106531,5.8000001909999996,16,216,57900,47600,44.10529918,-70.20333262
Sarah Lawrence College,3,4,Private,Mid-Atlantic,Large Suburb,0.61660000000000004,1402,62636,0,0,0.57699999999999996,3.7100000000000001E-2,9.7000000000000003E-2,4.1399999999999999E-2,6.9999999999999999E-4,1.4E-3,5.0599999999999999E-2,0.1113,7.7999999999999996E-3,20142,9806,0.3301,0.19439999999999999,0.6915,0.8256,3.2599999999999997E-2,3.3,13126,14812,6375,0.99000001000000004,0.27000001099999998,21.760000229999999,90005.24,65944,7.3600001339999999,51,296,39100,37700,40.93414676,-73.84380991
California State University-Los Angeles,3,4,Public,Far West,Large City,0.67520000000000002,19525,14747,18,871,8.1199999999999994E-2,4.65E-2,0.59650000000000003,0.16450000000000001,1E-3,2.8999999999999998E-3,1.6E-2,4.7899999999999998E-2,0.16800000000000001,6569,8767,0.49959999999999999,0.64470000000000005,0.35649999999999998,0.8206,0.25740000000000002,7.6,12000.5,14125,9834,0.560000002,0.829999983,24.209999079999999,27649.23,20015,17.510000229999999,591,4511,42200,39400,34.06692687,-118.1689654
